X,Y,QUERY_FIELD,IN_DASHBOARD,OBJECTID,LOCATION,LOCATION_NUMBER,LOCATION_NAME,POD_LATITUDE,POD_LONGITUDE,POD_ALTITUDE,READING_DATESTAMP_UTC,TEMPERATURE_C,PRESSURE_MBAR,HUMIDITY_RH,NOISE_LEVEL_DB,PEAK_NOISE_DB,CO_SCALED_PPB,NO_SCALED_PPB,SO2_SCALED_PPB,NO2_SCALED_PPB,O3_SCALED_PPB,CO2_SCALED_PPM,PM10_SCALED_UGM3,PM4_SCALED_UGM3,PM2_5_SCALED_UGM3,PM1_SCALED_UGM3,PM_TOTAL_SCALED_UGM3,AQHI,PM_TPC_SCALED_COUNTM3,NOX_PPB,GlobalID
-80.50396672,43.4401795,READING,N,654,J. F. Carmichael,1921,Pod 2450233,43.440171,-80.503963,298,2021/04/09 05:30:00+00,17.3,971.0,50.7,64.2,72.3,356.35,0.61,0.51,9.42,34.58,429.0,21.01,16.34,14.73,11.46,21.01,3.0,11.56,10.03,293f557a-1cb5-4368-9df9-2d171d0bf4b5
-80.50396672,43.4401795,READING,N,655,J. F. Carmichael,1921,Pod 2450233,43.440171,-80.503963,298,2021/04/09 05:45:00+00,17.2,970.9,50.9,64.8,72.9,348.81,0.5,0.57,8.74,35.47,438.0,20.12,13.57,12.16,9.54,20.16,3.0,9.64,9.24,b1351e25-d508-40c1-b1dd-7343cd2f64d7
-80.50396672,43.4401795,READING,N,656,J. F. Carmichael,1921,Pod 2450233,43.440171,-80.503963,298,2021/04/09 06:00:00+00,17.1,971.1,51.4,65.2,73.7,348.31,0.51,0.34,9.12,37.55,441.0,22.0,14.86,13.04,10.29,22.03,3.0,10.34,9.63,cd54eae0-af8e-4ce9-9de0-bf0ce742be03
-80.49204272,43.43330349,READING,N,657,St. Bernadette,1924,Pod 2450295,43.433295,-80.492039,297,2021/04/09 05:15:00+00,17.1,972.5,54.8,70.8,72.8,322.1,0.52,0.58,10.45,27.87,406.0,15.26,10.83,10.16,8.91,15.29,3.0,3.94,10.97,0b68f942-adcd-4012-bff1-9ff6b039136c
-80.49204272,43.43330349,READING,N,658,St. Bernadette,1924,Pod 2450295,43.433295,-80.492039,297,2021/04/09 05:30:00+00,17.1,972.4,55.2,71.3,73.1,323.12,0.61,0.61,10.98,26.67,404.0,14.05,11.22,10.45,9.26,14.05,3.0,4.14,11.59,5da6ffc1-3e44-4e7b-b999-3e1866e32080
-80.49204272,43.43330349,READING,N,659,St. Bernadette,1924,Pod 2450295,43.433295,-80.492039,297,2021/04/09 05:45:00+00,17.0,972.5,55.6,69.7,74.3,322.85,0.55,0.6,10.65,27.84,404.0,14.55,11.43,10.78,9.56,14.55,3.0,4.31,11.2,f4ddfc38-3ff8-48e6-91b5-35ba788ac723
-80.49204272,43.43330349,READING,N,660,St. Bernadette,1924,Pod 2450295,43.433295,-80.492039,297,2021/04/09 06:00:00+00,16.9,972.1,55.8,69.6,72.9,321.71,0.48,0.63,10.65,28.07,409.0,15.07,11.73,11.01,9.72,15.07,3.0,4.41,11.13,582fbbde-23f3-47dc-85c9-a5a59fe96cf9
-80.48289672,43.4528475,READING,N,661,Suddaby,1923,Pod 2450293,43.452839,-80.482893,331,2021/04/09 05:15:00+00,16.5,969.5,56.1,68.6,76.8,342.4,1.03,0.94,8.7,32.53,437.0,9.96,5.77,4.7,3.29,9.96,3.0,0.98,9.73,0b53f26c-3284-4dd1-9bc8-421a87102090
-80.48289672,43.4528475,READING,N,662,Suddaby,1923,Pod 2450293,43.452839,-80.482893,331,2021/04/09 05:30:00+00,16.4,969.3,56.8,68.8,76.0,349.22,0.98,1.07,9.32,34.07,442.0,11.42,6.43,5.11,3.57,11.42,3.0,1.08,10.3,3694b8b2-7526-49f8-8420-b581ef199197
-80.48289672,43.4528475,READING,N,663,Suddaby,1923,Pod 2450293,43.452839,-80.482893,331,2021/04/09 05:45:00+00,16.3,969.2,57.3,68.5,76.0,353.42,1.06,1.06,9.22,30.84,443.0,9.74,5.98,4.87,3.51,9.74,3.0,1.05,10.28,f19faca7-96af-4cf5-ad77-e58b06fe1fed
-80.48289672,43.4528475,READING,N,664,Suddaby,1923,Pod 2450293,43.452839,-80.482893,331,2021/04/09 06:00:00+00,16.2,969.1,57.7,69.0,76.1,357.45,1.05,1.31,9.6,28.21,445.0,11.78,6.47,5.34,3.79,11.78,3.0,1.14,10.65,636ac9f4-a2cc-4a4f-93bc-121f4351101a
-80.46121771,43.4535745,READING,N,665,Smithson,1920,Pod 2450232,43.453566,-80.461214,316,2021/04/09 06:15:00+00,16.7,971.0,53.2,59.0,70.1,255.18,0.6,1.22,10.33,29.55,464.0,17.15,12.44,12.58,12.2,17.15,3.0,2.57,10.93,951bf201-0ebe-4926-9e7d-5ee83975bbff
-80.46121771,43.4535745,READING,N,666,Smithson,1920,Pod 2450232,43.453566,-80.461214,316,2021/04/09 06:30:00+00,16.6,970.8,53.5,59.6,86.0,267.28,0.56,1.34,11.38,25.52,453.0,26.01,16.21,15.88,14.51,26.66,3.0,3.11,11.94,64c4de0d-fb83-41f6-b693-cdb7a4db2212
-80.46121771,43.4535745,READING,N,667,Smithson,1920,Pod 2450232,43.453566,-80.461214,316,2021/04/09 06:45:00+00,16.5,970.9,53.7,57.0,59.2,268.53,1.8,1.59,12.07,22.0,467.0,24.11,16.35,15.62,13.9,26.19,3.0,3.02,13.87,ef930921-e95d-4a0d-b4b3-b4f3391f0016
-80.46121771,43.4535745,READING,N,668,Smithson,1920,Pod 2450232,43.453566,-80.461214,316,2021/04/09 07:00:00+00,16.5,970.8,54.1,56.6,59.0,261.73,0.61,1.4,10.84,24.89,467.0,22.75,14.93,14.47,13.0,22.79,3.0,2.82,11.45,a9ce8293-106c-471e-b9b2-27d6507e1d55
